file,start,end
1201_MICA-cons,1918,1932
1321_MICA-cons,1942,1956
1321_MICA-cons,1952,1966
1331_MICA-cons,1920,1934
1361_MICA-cons,1948,1962
1361_MICA-cons,1978,1992
1361_MICA-cons,1986,2000
1371_MICA-cons,1972,1986
1381_MICA-cons,1982,1996
1401_MICA-cons,1988,2002
1441_MICA-cons,1978,1992
1461_MICA-cons,1967,1981
1521_MICA-cons,1960,1974
1531_MICA-cons,1945,1959
1571_MICA-cons,1967,1981
1591_MICA-cons,1961,1975
541_MICA-cons,1990,2004
561_MICA-cons,1984,1998
571_MICA-cons,1953,1967
571_MICA-cons,1960,1974
571_MICA-cons,1988,2002
581_MICA-cons,1978,1992
581_MICA-cons,1984,1998
641_MICA-cons,1941,1955
641_MICA-cons,1985,1999
731_MICA-cons,1932,1946
751_MICA-cons,1952,1966
751_MICA-cons,1985,1999
771_MICA-cons,1939,1953
841_MICA-cons,1987,2001
851_MICA-cons,1967,1981
851_MICA-cons,1972,1986
961_MICA-cons,1921,1935
