file,start,end
1041_MICA-cons,1977,2001
1051_MICA-cons,1980,2004
1311_MICA-cons,1979,2003
1321_MICA-cons,1956,1980
1331_MICA-cons,1934,1958
1351_MICA-cons,1978,2002
1441_MICA-cons,1932,1956
1491_MICA-cons,1960,1984
1531_MICA-cons,1946,1970
1571_MICA-cons,1939,1963
401_MICA-cons,1959,1983
541_MICA-cons,1980,2004
561_MICA-cons,1962,1986
641_MICA-cons,1939,1963
751_MICA-cons,1969,1993
771_MICA-cons,1959,1983
781_MICA-cons,1927,1951
791_MICA-cons,1978,2002
801_MICA-cons,1946,1970
851_MICA-cons,1956,1980
961_MICA-cons,1926,1950
