file,start,end
1201_MICA-cons,1932,1951
1291_MICA-cons,1983,2002
1301_MICA-cons,1971,1990
1311_MICA-cons,1982,2001
1321_MICA-cons,1927,1946
1331_MICA-cons,1948,1967
1351_MICA-cons,1974,1993
1391_MICA-cons,1937,1956
1401_MICA-cons,1985,2004
1441_MICA-cons,1976,1995
1451_MICA-cons,1977,1996
1491_MICA-cons,1971,1990
1591_MICA-cons,1943,1962
1591_MICA-cons,1966,1985
1631_MICA-cons,1940,1959
571_MICA-cons,1942,1961
571_MICA-cons,1979,1998
671_MICA-cons,1984,2003
751_MICA-cons,1946,1965
771_MICA-cons,1962,1981
781_MICA-cons,1922,1941
781_MICA-cons,1960,1979
801_MICA-cons,1938,1957
851_MICA-cons,1966,1985
961_MICA-cons,1920,1939
