file,start,end
1041_MICA-cons,1979,1993
1201_MICA-cons,1963,1977
1241_MICA-cons,1978,1992
1291_MICA-cons,1955,1969
1331_MICA-cons,1930,1944
1331_MICA-cons,1961,1975
1351_MICA-cons,1976,1990
1361_MICA-cons,1980,1994
1421_MICA-cons,1985,1999
1441_MICA-cons,1927,1941
1451_MICA-cons,1959,1973
1451_MICA-cons,1976,1990
1461_MICA-cons,1964,1978
1491_MICA-cons,1959,1973
1491_MICA-cons,1965,1979
1521_MICA-cons,1963,1977
1591_MICA-cons,1947,1961
1591_MICA-cons,1990,2004
1601_MICA-cons,1974,1988
401_MICA-cons,1960,1974
401_MICA-cons,1962,1976
541_MICA-cons,1990,2004
571_MICA-cons,1942,1956
581_MICA-cons,1977,1991
731_MICA-cons,1980,1994
771_MICA-cons,1946,1960
781_MICA-cons,1949,1963
781_MICA-cons,1955,1969
781_MICA-cons,1972,1986
801_MICA-cons,1929,1943
841_MICA-cons,1985,1999
851_MICA-cons,1955,1969
961_MICA-cons,1962,1976
