file,start,end
1011_MICA-cons,1977,1996
1091_MICA-cons,1975,1994
1291_MICA-cons,1975,1994
1301_MICA-cons,1968,1987
1331_MICA-cons,1932,1951
1331_MICA-cons,1954,1973
1351_MICA-cons,1979,1998
1361_MICA-cons,1968,1987
1381_MICA-cons,1943,1962
1401_MICA-cons,1959,1978
1401_MICA-cons,1979,1998
1461_MICA-cons,1965,1984
1491_MICA-cons,1974,1993
1531_MICA-cons,1956,1975
1601_MICA-cons,1983,2002
1631_MICA-cons,1955,1974
531_MICA-cons,1979,1998
541_MICA-cons,1976,1995
731_MICA-cons,1932,1951
731_MICA-cons,1975,1994
751_MICA-cons,1974,1993
801_MICA-cons,1967,1986
851_MICA-cons,1940,1959
931_MICA-cons,1975,1994
961_MICA-cons,1934,1953
