file,start,end
1291_MICA-cons,1965,1984
1321_MICA-cons,1954,1973
1371_MICA-cons,1974,1993
1381_MICA-cons,1983,2002
1441_MICA-cons,1936,1955
1461_MICA-cons,1974,1993
1531_MICA-cons,1951,1970
1531_MICA-cons,1980,1999
1591_MICA-cons,1947,1966
1601_MICA-cons,1974,1993
1631_MICA-cons,1951,1970
531_MICA-cons,1978,1997
571_MICA-cons,1968,1987
641_MICA-cons,1935,1954
641_MICA-cons,1972,1991
721_MICA-cons,1971,1990
731_MICA-cons,1974,1993
771_MICA-cons,1967,1986
791_MICA-cons,1976,1995
801_MICA-cons,1932,1951
801_MICA-cons,1984,2003
851_MICA-cons,1952,1971
851_MICA-cons,1977,1996
931_MICA-cons,1984,2003
961_MICA-cons,1969,1988
