file,start,end
1011_MICA-cons,1979,1993
1241_MICA-cons,1970,1984
1291_MICA-cons,1956,1970
1291_MICA-cons,1958,1972
1291_MICA-cons,1959,1973
1301_MICA-cons,1972,1986
1301_MICA-cons,1985,1999
1321_MICA-cons,1967,1981
1401_MICA-cons,1953,1967
1441_MICA-cons,1933,1947
1441_MICA-cons,1954,1968
1441_MICA-cons,1975,1989
1461_MICA-cons,1975,1989
1491_MICA-cons,1953,1967
1491_MICA-cons,1988,2002
1591_MICA-cons,1988,2002
1601_MICA-cons,1973,1987
1601_MICA-cons,1988,2002
401_MICA-cons,1930,1944
411_MICA-cons,1987,2001
531_MICA-cons,1981,1995
561_MICA-cons,1965,1979
561_MICA-cons,1970,1984
571_MICA-cons,1986,2000
641_MICA-cons,1944,1958
641_MICA-cons,1968,1982
721_MICA-cons,1979,1993
751_MICA-cons,1944,1958
751_MICA-cons,1953,1967
801_MICA-cons,1928,1942
851_MICA-cons,1967,1981
851_MICA-cons,1976,1990
961_MICA-cons,1962,1976
