file,start,end
1041_MICA-cons,1975,1979
1041_MICA-cons,1980,1984
1101_MICA-cons,1992,1996
1101_MICA-cons,1997,2001
1201_MICA-cons,1929,1933
1201_MICA-cons,1934,1938
1201_MICA-cons,1930,1934
1201_MICA-cons,1935,1939
1201_MICA-cons,1968,1972
1201_MICA-cons,1973,1977
1301_MICA-cons,1952,1956
1301_MICA-cons,1957,1961
1301_MICA-cons,1967,1971
1301_MICA-cons,1972,1976
1311_MICA-cons,1989,1993
1311_MICA-cons,1994,1998
1311_MICA-cons,1990,1994
1311_MICA-cons,1995,1999
1311_MICA-cons,1992,1996
1311_MICA-cons,1997,2001
1321_MICA-cons,1930,1934
1321_MICA-cons,1935,1939
1321_MICA-cons,1965,1969
1321_MICA-cons,1970,1974
1331_MICA-cons,1929,1933
1331_MICA-cons,1934,1938
1331_MICA-cons,1974,1978
1331_MICA-cons,1979,1983
1361_MICA-cons,1974,1978
1361_MICA-cons,1979,1983
1381_MICA-cons,1970,1974
1381_MICA-cons,1975,1979
1381_MICA-cons,1973,1977
1381_MICA-cons,1978,1982
1381_MICA-cons,1974,1978
1381_MICA-cons,1979,1983
1391_MICA-cons,1971,1975
1391_MICA-cons,1976,1980
1401_MICA-cons,1964,1968
1401_MICA-cons,1969,1973
1441_MICA-cons,1926,1930
1441_MICA-cons,1931,1935
1441_MICA-cons,1943,1947
1441_MICA-cons,1948,1952
1441_MICA-cons,1976,1980
1441_MICA-cons,1981,1985
1441_MICA-cons,1993,1997
1441_MICA-cons,1998,2002
1451_MICA-cons,1981,1985
1451_MICA-cons,1986,1990
1521_MICA-cons,1977,1981
1521_MICA-cons,1982,1986
1601_MICA-cons,1973,1977
1601_MICA-cons,1978,1982
401_MICA-cons,1927,1931
401_MICA-cons,1932,1936
401_MICA-cons,1929,1933
401_MICA-cons,1934,1938
401_MICA-cons,1951,1955
401_MICA-cons,1956,1960
411_MICA-cons,1977,1981
411_MICA-cons,1982,1986
561_MICA-cons,1983,1987
561_MICA-cons,1988,1992
571_MICA-cons,1952,1956
571_MICA-cons,1957,1961
581_MICA-cons,1987,1991
581_MICA-cons,1992,1996
641_MICA-cons,1953,1957
641_MICA-cons,1958,1962
641_MICA-cons,1974,1978
641_MICA-cons,1979,1983
721_MICA-cons,1970,1974
721_MICA-cons,1975,1979
721_MICA-cons,1982,1986
721_MICA-cons,1987,1991
721_MICA-cons,1989,1993
721_MICA-cons,1994,1998
731_MICA-cons,1931,1935
731_MICA-cons,1936,1940
731_MICA-cons,1973,1977
731_MICA-cons,1978,1982
731_MICA-cons,1975,1979
731_MICA-cons,1980,1984
751_MICA-cons,1984,1988
751_MICA-cons,1989,1993
781_MICA-cons,1955,1959
781_MICA-cons,1960,1964
781_MICA-cons,1959,1963
781_MICA-cons,1964,1968
801_MICA-cons,1935,1939
801_MICA-cons,1940,1944
801_MICA-cons,1983,1987
801_MICA-cons,1988,1992
841_MICA-cons,1986,1990
841_MICA-cons,1991,1995
851_MICA-cons,1963,1967
851_MICA-cons,1968,1972
931_MICA-cons,1968,1972
931_MICA-cons,1973,1977
