file,start,end
1011_MICA-cons,1967,1991
1291_MICA-cons,1954,1978
1331_MICA-cons,1940,1964
1331_MICA-cons,1976,2000
1361_MICA-cons,1945,1969
1391_MICA-cons,1974,1998
1401_MICA-cons,1972,1996
1441_MICA-cons,1944,1968
1451_MICA-cons,1972,1996
1461_MICA-cons,1973,1997
1491_MICA-cons,1939,1963
1491_MICA-cons,1975,1999
531_MICA-cons,1979,2003
571_MICA-cons,1977,2001
641_MICA-cons,1948,1972
751_MICA-cons,1976,2000
771_MICA-cons,1965,1989
781_MICA-cons,1943,1967
791_MICA-cons,1975,1999
801_MICA-cons,1973,1997
961_MICA-cons,1953,1977
