file,start,end
1011_MICA-cons,1970,1989
1201_MICA-cons,1919,1938
1201_MICA-cons,1954,1973
1241_MICA-cons,1967,1986
1301_MICA-cons,1962,1981
1321_MICA-cons,1975,1994
1331_MICA-cons,1928,1947
1341_MICA-cons,1983,2002
1371_MICA-cons,1985,2004
1381_MICA-cons,1945,1964
1391_MICA-cons,1935,1954
1391_MICA-cons,1969,1988
1491_MICA-cons,1948,1967
1491_MICA-cons,1980,1999
1631_MICA-cons,1949,1968
401_MICA-cons,1945,1964
401_MICA-cons,1965,1984
411_MICA-cons,1984,2003
541_MICA-cons,1971,1990
571_MICA-cons,1941,1960
641_MICA-cons,1947,1966
731_MICA-cons,1941,1960
781_MICA-cons,1972,1991
791_MICA-cons,1975,1994
851_MICA-cons,1956,1975
