file,start,end
1041_MICA-cons,1975,1989
1051_MICA-cons,1989,2003
1201_MICA-cons,1969,1983
1291_MICA-cons,1967,1981
1381_MICA-cons,1941,1955
1391_MICA-cons,1948,1962
1391_MICA-cons,1962,1976
1391_MICA-cons,1978,1992
1401_MICA-cons,1966,1980
1401_MICA-cons,1973,1987
1401_MICA-cons,1987,2001
1441_MICA-cons,1922,1936
1441_MICA-cons,1944,1958
1441_MICA-cons,1976,1990
1451_MICA-cons,1984,1998
1471_MICA-cons,1982,1996
1491_MICA-cons,1935,1949
1591_MICA-cons,1953,1967
1631_MICA-cons,1955,1969
401_MICA-cons,1960,1974
411_MICA-cons,1986,2000
571_MICA-cons,1954,1968
641_MICA-cons,1941,1955
731_MICA-cons,1957,1971
751_MICA-cons,1958,1972
751_MICA-cons,1961,1975
771_MICA-cons,1947,1961
781_MICA-cons,1924,1938
781_MICA-cons,1980,1994
851_MICA-cons,1954,1968
941_MICA-cons,1977,1991
961_MICA-cons,1933,1947
961_MICA-cons,1948,1962
