file,start,end
1041_MICA-cons,1975,1984
1101_MICA-cons,1992,2001
1201_MICA-cons,1929,1938
1201_MICA-cons,1930,1939
1201_MICA-cons,1968,1977
1301_MICA-cons,1952,1961
1301_MICA-cons,1967,1976
1311_MICA-cons,1989,1998
1311_MICA-cons,1990,1999
1311_MICA-cons,1992,2001
1321_MICA-cons,1930,1939
1321_MICA-cons,1965,1974
1331_MICA-cons,1929,1938
1331_MICA-cons,1974,1983
1361_MICA-cons,1974,1983
1381_MICA-cons,1970,1979
1381_MICA-cons,1973,1982
1381_MICA-cons,1974,1983
1391_MICA-cons,1971,1980
1401_MICA-cons,1964,1973
1441_MICA-cons,1926,1935
1441_MICA-cons,1943,1952
1441_MICA-cons,1976,1985
1441_MICA-cons,1993,2002
1451_MICA-cons,1981,1990
1521_MICA-cons,1977,1986
1601_MICA-cons,1973,1982
401_MICA-cons,1927,1936
401_MICA-cons,1929,1938
401_MICA-cons,1951,1960
411_MICA-cons,1977,1986
561_MICA-cons,1983,1992
571_MICA-cons,1952,1961
581_MICA-cons,1987,1996
641_MICA-cons,1953,1962
641_MICA-cons,1974,1983
721_MICA-cons,1970,1979
721_MICA-cons,1982,1991
721_MICA-cons,1989,1998
731_MICA-cons,1931,1940
731_MICA-cons,1973,1982
731_MICA-cons,1975,1984
751_MICA-cons,1984,1993
781_MICA-cons,1955,1964
781_MICA-cons,1959,1968
801_MICA-cons,1935,1944
801_MICA-cons,1983,1992
841_MICA-cons,1986,1995
851_MICA-cons,1963,1972
931_MICA-cons,1968,1977
