file,start,end
1091_MICA-cons,1979,2003
1201_MICA-cons,1924,1948
1351_MICA-cons,1975,1999
1361_MICA-cons,1959,1983
1391_MICA-cons,1948,1972
1441_MICA-cons,1952,1976
1451_MICA-cons,1976,2000
1571_MICA-cons,1951,1975
1591_MICA-cons,1940,1964
1591_MICA-cons,1975,1999
1601_MICA-cons,1980,2004
411_MICA-cons,1979,2003
531_MICA-cons,1979,2003
541_MICA-cons,1973,1997
571_MICA-cons,1940,1964
711_MICA-cons,1967,1991
731_MICA-cons,1931,1955
751_MICA-cons,1956,1980
791_MICA-cons,1979,2003
851_MICA-cons,1934,1958
851_MICA-cons,1968,1992
