file,start,end
1011_MICA-cons,1982,1991
1041_MICA-cons,1974,1983
1041_MICA-cons,1993,2002
1051_MICA-cons,1995,2004
1091_MICA-cons,1984,1993
1201_MICA-cons,1969,1978
1291_MICA-cons,1967,1976
1291_MICA-cons,1976,1985
1301_MICA-cons,1929,1938
1321_MICA-cons,1938,1947
1331_MICA-cons,1923,1932
1331_MICA-cons,1928,1937
1331_MICA-cons,1953,1962
1331_MICA-cons,1961,1970
1331_MICA-cons,1962,1971
1331_MICA-cons,1988,1997
1341_MICA-cons,1986,1995
1351_MICA-cons,1976,1985
1351_MICA-cons,1993,2002
1361_MICA-cons,1942,1951
1361_MICA-cons,1957,1966
1361_MICA-cons,1966,1975
1371_MICA-cons,1976,1985
1381_MICA-cons,1983,1992
1391_MICA-cons,1949,1958
1391_MICA-cons,1955,1964
1391_MICA-cons,1974,1983
1401_MICA-cons,1970,1979
1451_MICA-cons,1980,1989
1491_MICA-cons,1927,1936
1491_MICA-cons,1956,1965
1491_MICA-cons,1961,1970
1491_MICA-cons,1962,1971
1591_MICA-cons,1957,1966
1591_MICA-cons,1979,1988
411_MICA-cons,1974,1983
441_MICA-cons,1978,1987
571_MICA-cons,1967,1976
641_MICA-cons,1980,1989
671_MICA-cons,1990,1999
721_MICA-cons,1965,1974
721_MICA-cons,1971,1980
721_MICA-cons,1976,1985
731_MICA-cons,1974,1983
771_MICA-cons,1950,1959
781_MICA-cons,1962,1971
851_MICA-cons,1952,1961
851_MICA-cons,1978,1987
961_MICA-cons,1936,1945
961_MICA-cons,1937,1946
