file,start,end
1011_MICA-cons,1982,1986
1011_MICA-cons,1987,1991
1041_MICA-cons,1974,1978
1041_MICA-cons,1979,1983
1041_MICA-cons,1993,1997
1041_MICA-cons,1998,2002
1051_MICA-cons,1995,1999
1051_MICA-cons,2000,2004
1091_MICA-cons,1984,1988
1091_MICA-cons,1989,1993
1201_MICA-cons,1969,1973
1201_MICA-cons,1974,1978
1291_MICA-cons,1967,1971
1291_MICA-cons,1972,1976
1291_MICA-cons,1976,1980
1291_MICA-cons,1981,1985
1301_MICA-cons,1929,1933
1301_MICA-cons,1934,1938
1321_MICA-cons,1938,1942
1321_MICA-cons,1943,1947
1331_MICA-cons,1923,1927
1331_MICA-cons,1928,1932
1331_MICA-cons,1928,1932
1331_MICA-cons,1933,1937
1331_MICA-cons,1953,1957
1331_MICA-cons,1958,1962
1331_MICA-cons,1961,1965
1331_MICA-cons,1966,1970
1331_MICA-cons,1962,1966
1331_MICA-cons,1967,1971
1331_MICA-cons,1988,1992
1331_MICA-cons,1993,1997
1341_MICA-cons,1986,1990
1341_MICA-cons,1991,1995
1351_MICA-cons,1976,1980
1351_MICA-cons,1981,1985
1351_MICA-cons,1993,1997
1351_MICA-cons,1998,2002
1361_MICA-cons,1942,1946
1361_MICA-cons,1947,1951
1361_MICA-cons,1957,1961
1361_MICA-cons,1962,1966
1361_MICA-cons,1966,1970
1361_MICA-cons,1971,1975
1371_MICA-cons,1976,1980
1371_MICA-cons,1981,1985
1381_MICA-cons,1983,1987
1381_MICA-cons,1988,1992
1391_MICA-cons,1949,1953
1391_MICA-cons,1954,1958
1391_MICA-cons,1955,1959
1391_MICA-cons,1960,1964
1391_MICA-cons,1974,1978
1391_MICA-cons,1979,1983
1401_MICA-cons,1970,1974
1401_MICA-cons,1975,1979
1451_MICA-cons,1980,1984
1451_MICA-cons,1985,1989
1491_MICA-cons,1927,1931
1491_MICA-cons,1932,1936
1491_MICA-cons,1956,1960
1491_MICA-cons,1961,1965
1491_MICA-cons,1961,1965
1491_MICA-cons,1966,1970
1491_MICA-cons,1962,1966
1491_MICA-cons,1967,1971
1591_MICA-cons,1957,1961
1591_MICA-cons,1962,1966
1591_MICA-cons,1979,1983
1591_MICA-cons,1984,1988
411_MICA-cons,1974,1978
411_MICA-cons,1979,1983
441_MICA-cons,1978,1982
441_MICA-cons,1983,1987
571_MICA-cons,1967,1971
571_MICA-cons,1972,1976
641_MICA-cons,1980,1984
641_MICA-cons,1985,1989
671_MICA-cons,1990,1994
671_MICA-cons,1995,1999
721_MICA-cons,1965,1969
721_MICA-cons,1970,1974
721_MICA-cons,1971,1975
721_MICA-cons,1976,1980
721_MICA-cons,1976,1980
721_MICA-cons,1981,1985
731_MICA-cons,1974,1978
731_MICA-cons,1979,1983
771_MICA-cons,1950,1954
771_MICA-cons,1955,1959
781_MICA-cons,1962,1966
781_MICA-cons,1967,1971
851_MICA-cons,1952,1956
851_MICA-cons,1957,1961
851_MICA-cons,1978,1982
851_MICA-cons,1983,1987
961_MICA-cons,1936,1940
961_MICA-cons,1941,1945
961_MICA-cons,1937,1941
961_MICA-cons,1942,1946
