file,start,end
1201_MICA-cons,1916,1940
1301_MICA-cons,1978,2002
1331_MICA-cons,1943,1967
1381_MICA-cons,1951,1975
1391_MICA-cons,1932,1956
1421_MICA-cons,1977,2001
1491_MICA-cons,1964,1988
1521_MICA-cons,1972,1996
1531_MICA-cons,1963,1987
1571_MICA-cons,1956,1980
1591_MICA-cons,1980,2004
1601_MICA-cons,1979,2003
1631_MICA-cons,1939,1963
411_MICA-cons,1974,1998
561_MICA-cons,1967,1991
731_MICA-cons,1927,1951
731_MICA-cons,1960,1984
771_MICA-cons,1957,1981
781_MICA-cons,1918,1942
781_MICA-cons,1943,1967
801_MICA-cons,1940,1964
