file,start,end
1011_MICA-cons,1982,1996
1051_MICA-cons,1982,1996
1091_MICA-cons,1989,2003
1241_MICA-cons,1984,1998
1301_MICA-cons,1931,1945
1301_MICA-cons,1967,1981
1401_MICA-cons,1985,1999
1441_MICA-cons,1939,1953
1441_MICA-cons,1985,1999
1461_MICA-cons,1962,1976
1461_MICA-cons,1967,1981
1461_MICA-cons,1986,2000
1491_MICA-cons,1959,1973
1491_MICA-cons,1969,1983
1531_MICA-cons,1943,1957
1571_MICA-cons,1943,1957
1571_MICA-cons,1950,1964
1571_MICA-cons,1958,1972
1631_MICA-cons,1956,1970
401_MICA-cons,1971,1985
561_MICA-cons,1968,1982
561_MICA-cons,1970,1984
571_MICA-cons,1940,1954
571_MICA-cons,1972,1986
641_MICA-cons,1951,1965
641_MICA-cons,1962,1976
751_MICA-cons,1952,1966
781_MICA-cons,1964,1978
781_MICA-cons,1980,1994
791_MICA-cons,1966,1980
941_MICA-cons,1974,1988
941_MICA-cons,1985,1999
961_MICA-cons,1980,1994
