file,start,end
1201_MICA-cons,1916,1940
1201_MICA-cons,1961,1985
1241_MICA-cons,1970,1994
1331_MICA-cons,1937,1961
1341_MICA-cons,1976,2000
1361_MICA-cons,1938,1962
1361_MICA-cons,1974,1998
1391_MICA-cons,1968,1992
1401_MICA-cons,1964,1988
1451_MICA-cons,1966,1990
1491_MICA-cons,1952,1976
1521_MICA-cons,1978,2002
1531_MICA-cons,1967,1991
1591_MICA-cons,1952,1976
401_MICA-cons,1936,1960
531_MICA-cons,1979,2003
541_MICA-cons,1962,1986
731_MICA-cons,1935,1959
751_MICA-cons,1951,1975
771_MICA-cons,1972,1996
781_MICA-cons,1922,1946
