file,start,end
1011_MICA-cons,1989,2003
1201_MICA-cons,1917,1931
1241_MICA-cons,1961,1975
1301_MICA-cons,1975,1989
1331_MICA-cons,1958,1972
1331_MICA-cons,1972,1986
1331_MICA-cons,1983,1997
1381_MICA-cons,1979,1993
1401_MICA-cons,1952,1966
1401_MICA-cons,1969,1983
1401_MICA-cons,1990,2004
1421_MICA-cons,1979,1993
1441_MICA-cons,1934,1948
1441_MICA-cons,1964,1978
1441_MICA-cons,1978,1992
1451_MICA-cons,1979,1993
1461_MICA-cons,1960,1974
1491_MICA-cons,1984,1998
1531_MICA-cons,1949,1963
1571_MICA-cons,1942,1956
1591_MICA-cons,1949,1963
1591_MICA-cons,1953,1967
1591_MICA-cons,1972,1986
1601_MICA-cons,1973,1987
1601_MICA-cons,1986,2000
1631_MICA-cons,1948,1962
401_MICA-cons,1958,1972
571_MICA-cons,1957,1971
641_MICA-cons,1943,1957
641_MICA-cons,1984,1998
781_MICA-cons,1927,1941
801_MICA-cons,1964,1978
941_MICA-cons,1983,1997
