file,start,end
1091_MICA-cons,1977,2001
1201_MICA-cons,1916,1940
1241_MICA-cons,1972,1996
1301_MICA-cons,1962,1986
1321_MICA-cons,1930,1954
1331_MICA-cons,1953,1977
1391_MICA-cons,1976,2000
1401_MICA-cons,1968,1992
1441_MICA-cons,1923,1947
1461_MICA-cons,1975,1999
1491_MICA-cons,1940,1964
1591_MICA-cons,1956,1980
1601_MICA-cons,1974,1998
1631_MICA-cons,1958,1982
411_MICA-cons,1974,1998
561_MICA-cons,1976,2000
571_MICA-cons,1940,1964
711_MICA-cons,1967,1991
731_MICA-cons,1926,1950
781_MICA-cons,1967,1991
801_MICA-cons,1953,1977
