file,start,end
1051_MICA-cons,1981,2000
1301_MICA-cons,1927,1946
1321_MICA-cons,1956,1975
1321_MICA-cons,1977,1996
1331_MICA-cons,1926,1945
1371_MICA-cons,1975,1994
1401_MICA-cons,1977,1996
1531_MICA-cons,1973,1992
1571_MICA-cons,1942,1961
1601_MICA-cons,1976,1995
401_MICA-cons,1939,1958
541_MICA-cons,1965,1984
561_MICA-cons,1968,1987
571_MICA-cons,1956,1975
581_MICA-cons,1979,1998
671_MICA-cons,1983,2002
721_MICA-cons,1965,1984
731_MICA-cons,1963,1982
771_MICA-cons,1955,1974
781_MICA-cons,1934,1953
791_MICA-cons,1975,1994
851_MICA-cons,1931,1950
851_MICA-cons,1963,1982
961_MICA-cons,1918,1937
961_MICA-cons,1973,1992
