file,start,end
1051_MICA-cons,1978,1982
1051_MICA-cons,1983,1987
1201_MICA-cons,1919,1923
1201_MICA-cons,1924,1928
1241_MICA-cons,1988,1992
1241_MICA-cons,1993,1997
1291_MICA-cons,1991,1995
1291_MICA-cons,1996,2000
1301_MICA-cons,1935,1939
1301_MICA-cons,1940,1944
1301_MICA-cons,1980,1984
1301_MICA-cons,1985,1989
1321_MICA-cons,1973,1977
1321_MICA-cons,1978,1982
1321_MICA-cons,1985,1989
1321_MICA-cons,1990,1994
1321_MICA-cons,1987,1991
1321_MICA-cons,1992,1996
1331_MICA-cons,1974,1978
1331_MICA-cons,1979,1983
1331_MICA-cons,1995,1999
1331_MICA-cons,2000,2004
1351_MICA-cons,1994,1998
1351_MICA-cons,1999,2003
1361_MICA-cons,1951,1955
1361_MICA-cons,1956,1960
1361_MICA-cons,1979,1983
1361_MICA-cons,1984,1988
1361_MICA-cons,1982,1986
1361_MICA-cons,1987,1991
1371_MICA-cons,1973,1977
1371_MICA-cons,1978,1982
1381_MICA-cons,1983,1987
1381_MICA-cons,1988,1992
1381_MICA-cons,1987,1991
1381_MICA-cons,1992,1996
1391_MICA-cons,1990,1994
1391_MICA-cons,1995,1999
1401_MICA-cons,1958,1962
1401_MICA-cons,1963,1967
1401_MICA-cons,1995,1999
1401_MICA-cons,2000,2004
1421_MICA-cons,1975,1979
1421_MICA-cons,1980,1984
1441_MICA-cons,1940,1944
1441_MICA-cons,1945,1949
1441_MICA-cons,1984,1988
1441_MICA-cons,1989,1993
1461_MICA-cons,1988,1992
1461_MICA-cons,1993,1997
1461_MICA-cons,1993,1997
1461_MICA-cons,1998,2002
1471_MICA-cons,1990,1994
1471_MICA-cons,1995,1999
1531_MICA-cons,1962,1966
1531_MICA-cons,1967,1971
1571_MICA-cons,1941,1945
1571_MICA-cons,1946,1950
1571_MICA-cons,1953,1957
1571_MICA-cons,1958,1962
1571_MICA-cons,1987,1991
1571_MICA-cons,1992,1996
1591_MICA-cons,1967,1971
1591_MICA-cons,1972,1976
1631_MICA-cons,1948,1952
1631_MICA-cons,1953,1957
401_MICA-cons,1969,1973
401_MICA-cons,1974,1978
401_MICA-cons,1978,1982
401_MICA-cons,1983,1987
411_MICA-cons,1978,1982
411_MICA-cons,1983,1987
411_MICA-cons,1984,1988
411_MICA-cons,1989,1993
441_MICA-cons,1977,1981
441_MICA-cons,1982,1986
531_MICA-cons,1982,1986
531_MICA-cons,1987,1991
571_MICA-cons,1975,1979
571_MICA-cons,1980,1984
641_MICA-cons,1939,1943
641_MICA-cons,1944,1948
711_MICA-cons,1977,1981
711_MICA-cons,1982,1986
751_MICA-cons,1952,1956
751_MICA-cons,1957,1961
781_MICA-cons,1948,1952
781_MICA-cons,1953,1957
781_MICA-cons,1994,1998
781_MICA-cons,1999,2003
841_MICA-cons,1993,1997
841_MICA-cons,1998,2002
851_MICA-cons,1942,1946
851_MICA-cons,1947,1951
851_MICA-cons,1955,1959
851_MICA-cons,1960,1964
851_MICA-cons,1972,1976
851_MICA-cons,1977,1981
961_MICA-cons,1966,1970
961_MICA-cons,1971,1975
