file,start,end
1301_MICA-cons,1967,1991
1331_MICA-cons,1971,1995
1341_MICA-cons,1977,2001
1381_MICA-cons,1950,1974
1391_MICA-cons,1970,1994
1401_MICA-cons,1951,1975
1451_MICA-cons,1973,1997
1591_MICA-cons,1940,1964
1591_MICA-cons,1973,1997
1631_MICA-cons,1956,1980
641_MICA-cons,1956,1980
721_MICA-cons,1976,2000
731_MICA-cons,1932,1956
751_MICA-cons,1959,1983
771_MICA-cons,1938,1962
781_MICA-cons,1938,1962
851_MICA-cons,1936,1960
851_MICA-cons,1976,2000
931_MICA-cons,1968,1992
961_MICA-cons,1935,1959
961_MICA-cons,1976,2000
