file,start,end
1201_MICA-cons,1916,1935
1321_MICA-cons,1943,1962
1321_MICA-cons,1971,1990
1331_MICA-cons,1961,1980
1351_MICA-cons,1983,2002
1371_MICA-cons,1985,2004
1401_MICA-cons,1976,1995
1441_MICA-cons,1957,1976
1451_MICA-cons,1974,1993
1461_MICA-cons,1981,2000
1491_MICA-cons,1930,1949
1531_MICA-cons,1965,1984
1571_MICA-cons,1937,1956
1591_MICA-cons,1949,1968
1591_MICA-cons,1976,1995
561_MICA-cons,1980,1999
571_MICA-cons,1940,1959
641_MICA-cons,1960,1979
721_MICA-cons,1981,2000
731_MICA-cons,1935,1954
771_MICA-cons,1978,1997
781_MICA-cons,1956,1975
851_MICA-cons,1970,1989
941_MICA-cons,1981,2000
961_MICA-cons,1978,1997
