file,start,end
1011_MICA-cons,1973,1997
1201_MICA-cons,1967,1991
1301_MICA-cons,1959,1983
1321_MICA-cons,1950,1974
1321_MICA-cons,1975,1999
1331_MICA-cons,1919,1943
1361_MICA-cons,1937,1961
1381_MICA-cons,1977,2001
1441_MICA-cons,1939,1963
1451_MICA-cons,1968,1992
1491_MICA-cons,1927,1951
1491_MICA-cons,1967,1991
1531_MICA-cons,1971,1995
1591_MICA-cons,1976,2000
1631_MICA-cons,1957,1981
401_MICA-cons,1944,1968
531_MICA-cons,1980,2004
641_MICA-cons,1940,1964
851_MICA-cons,1952,1976
941_MICA-cons,1977,2001
961_MICA-cons,1962,1986
