file,start,end
1051_MICA-cons,1978,1987
1201_MICA-cons,1919,1928
1241_MICA-cons,1988,1997
1291_MICA-cons,1991,2000
1301_MICA-cons,1935,1944
1301_MICA-cons,1980,1989
1321_MICA-cons,1973,1982
1321_MICA-cons,1985,1994
1321_MICA-cons,1987,1996
1331_MICA-cons,1974,1983
1331_MICA-cons,1995,2004
1351_MICA-cons,1994,2003
1361_MICA-cons,1951,1960
1361_MICA-cons,1979,1988
1361_MICA-cons,1982,1991
1371_MICA-cons,1973,1982
1381_MICA-cons,1983,1992
1381_MICA-cons,1987,1996
1391_MICA-cons,1990,1999
1401_MICA-cons,1958,1967
1401_MICA-cons,1995,2004
1421_MICA-cons,1975,1984
1441_MICA-cons,1940,1949
1441_MICA-cons,1984,1993
1461_MICA-cons,1988,1997
1461_MICA-cons,1993,2002
1471_MICA-cons,1990,1999
1531_MICA-cons,1962,1971
1571_MICA-cons,1941,1950
1571_MICA-cons,1953,1962
1571_MICA-cons,1987,1996
1591_MICA-cons,1967,1976
1631_MICA-cons,1948,1957
401_MICA-cons,1969,1978
401_MICA-cons,1978,1987
411_MICA-cons,1978,1987
411_MICA-cons,1984,1993
441_MICA-cons,1977,1986
531_MICA-cons,1982,1991
571_MICA-cons,1975,1984
641_MICA-cons,1939,1948
711_MICA-cons,1977,1986
751_MICA-cons,1952,1961
781_MICA-cons,1948,1957
781_MICA-cons,1994,2003
841_MICA-cons,1993,2002
851_MICA-cons,1942,1951
851_MICA-cons,1955,1964
851_MICA-cons,1972,1981
961_MICA-cons,1966,1975
