file,start,end
1201_MICA-cons,1918,1937
1291_MICA-cons,1956,1975
1331_MICA-cons,1977,1996
1381_MICA-cons,1973,1992
1391_MICA-cons,1944,1963
1401_MICA-cons,1942,1961
1441_MICA-cons,1966,1985
1451_MICA-cons,1969,1988
1461_MICA-cons,1960,1979
1491_MICA-cons,1976,1995
1521_MICA-cons,1972,1991
1531_MICA-cons,1952,1971
1571_MICA-cons,1957,1976
1591_MICA-cons,1949,1968
401_MICA-cons,1924,1943
531_MICA-cons,1985,2004
571_MICA-cons,1977,1996
641_MICA-cons,1939,1958
721_MICA-cons,1972,1991
731_MICA-cons,1949,1968
771_MICA-cons,1982,2001
781_MICA-cons,1920,1939
781_MICA-cons,1945,1964
931_MICA-cons,1980,1999
961_MICA-cons,1921,1940
