file,start,end
1091_MICA-cons,1978,2002
1301_MICA-cons,1966,1990
1381_MICA-cons,1964,1988
1391_MICA-cons,1947,1971
1401_MICA-cons,1947,1971
1441_MICA-cons,1922,1946
1461_MICA-cons,1978,2002
1531_MICA-cons,1957,1981
1601_MICA-cons,1975,1999
531_MICA-cons,1979,2003
541_MICA-cons,1970,1994
561_MICA-cons,1973,1997
571_MICA-cons,1939,1963
571_MICA-cons,1973,1997
731_MICA-cons,1969,1993
751_MICA-cons,1957,1981
771_MICA-cons,1933,1957
771_MICA-cons,1968,1992
781_MICA-cons,1961,1985
801_MICA-cons,1935,1959
851_MICA-cons,1942,1966
