file,start,end
1201_MICA-cons,1918,1937
1311_MICA-cons,1980,1999
1321_MICA-cons,1957,1976
1331_MICA-cons,1974,1993
1381_MICA-cons,1964,1983
1391_MICA-cons,1943,1962
1391_MICA-cons,1977,1996
1401_MICA-cons,1970,1989
1441_MICA-cons,1936,1955
1441_MICA-cons,1958,1977
1491_MICA-cons,1959,1978
1571_MICA-cons,1951,1970
1591_MICA-cons,1939,1958
411_MICA-cons,1977,1996
531_MICA-cons,1979,1998
561_MICA-cons,1962,1981
731_MICA-cons,1975,1994
781_MICA-cons,1928,1947
781_MICA-cons,1961,1980
791_MICA-cons,1972,1991
801_MICA-cons,1936,1955
801_MICA-cons,1974,1993
851_MICA-cons,1967,1986
931_MICA-cons,1983,2002
941_MICA-cons,1976,1995
