file,start,end
1011_MICA-cons,1984,2003
1321_MICA-cons,1967,1986
1331_MICA-cons,1925,1944
1331_MICA-cons,1962,1981
1341_MICA-cons,1979,1998
1361_MICA-cons,1971,1990
1371_MICA-cons,1973,1992
1381_MICA-cons,1973,1992
1401_MICA-cons,1974,1993
1451_MICA-cons,1980,1999
1461_MICA-cons,1985,2004
1471_MICA-cons,1982,2001
1521_MICA-cons,1978,1997
1531_MICA-cons,1980,1999
1571_MICA-cons,1970,1989
401_MICA-cons,1924,1943
571_MICA-cons,1953,1972
641_MICA-cons,1946,1965
721_MICA-cons,1958,1977
731_MICA-cons,1975,1994
751_MICA-cons,1970,1989
771_MICA-cons,1959,1978
801_MICA-cons,1962,1981
851_MICA-cons,1960,1979
961_MICA-cons,1925,1944
