file,start,end
1041_MICA-cons,1989,1993
1041_MICA-cons,1994,1998
1051_MICA-cons,1987,1991
1051_MICA-cons,1992,1996
1201_MICA-cons,1926,1930
1201_MICA-cons,1931,1935
1201_MICA-cons,1927,1931
1201_MICA-cons,1932,1936
1201_MICA-cons,1959,1963
1201_MICA-cons,1964,1968
1201_MICA-cons,1985,1989
1201_MICA-cons,1990,1994
1291_MICA-cons,1975,1979
1291_MICA-cons,1980,1984
1291_MICA-cons,1992,1996
1291_MICA-cons,1997,2001
1301_MICA-cons,1952,1956
1301_MICA-cons,1957,1961
1321_MICA-cons,1949,1953
1321_MICA-cons,1954,1958
1321_MICA-cons,1963,1967
1321_MICA-cons,1968,1972
1331_MICA-cons,1968,1972
1331_MICA-cons,1973,1977
1341_MICA-cons,1981,1985
1341_MICA-cons,1986,1990
1351_MICA-cons,1980,1984
1351_MICA-cons,1985,1989
1351_MICA-cons,1994,1998
1351_MICA-cons,1999,2003
1371_MICA-cons,1980,1984
1371_MICA-cons,1985,1989
1381_MICA-cons,1988,1992
1381_MICA-cons,1993,1997
1381_MICA-cons,1991,1995
1381_MICA-cons,1996,2000
1441_MICA-cons,1925,1929
1441_MICA-cons,1930,1934
1441_MICA-cons,1927,1931
1441_MICA-cons,1932,1936
1441_MICA-cons,1930,1934
1441_MICA-cons,1935,1939
1441_MICA-cons,1963,1967
1441_MICA-cons,1968,1972
1461_MICA-cons,1971,1975
1461_MICA-cons,1976,1980
1491_MICA-cons,1963,1967
1491_MICA-cons,1968,1972
1521_MICA-cons,1974,1978
1521_MICA-cons,1979,1983
1521_MICA-cons,1977,1981
1521_MICA-cons,1982,1986
1521_MICA-cons,1978,1982
1521_MICA-cons,1983,1987
1531_MICA-cons,1988,1992
1531_MICA-cons,1993,1997
1571_MICA-cons,1937,1941
1571_MICA-cons,1942,1946
1571_MICA-cons,1963,1967
1571_MICA-cons,1968,1972
1591_MICA-cons,1952,1956
1591_MICA-cons,1957,1961
1631_MICA-cons,1960,1964
1631_MICA-cons,1965,1969
1631_MICA-cons,1969,1973
1631_MICA-cons,1974,1978
401_MICA-cons,1932,1936
401_MICA-cons,1937,1941
401_MICA-cons,1958,1962
401_MICA-cons,1963,1967
421_MICA-cons,1991,1995
421_MICA-cons,1996,2000
441_MICA-cons,1983,1987
441_MICA-cons,1988,1992
441_MICA-cons,1984,1988
441_MICA-cons,1989,1993
531_MICA-cons,1979,1983
531_MICA-cons,1984,1988
561_MICA-cons,1972,1976
561_MICA-cons,1977,1981
561_MICA-cons,1981,1985
561_MICA-cons,1986,1990
571_MICA-cons,1980,1984
571_MICA-cons,1985,1989
571_MICA-cons,1984,1988
571_MICA-cons,1989,1993
671_MICA-cons,1991,1995
671_MICA-cons,1996,2000
721_MICA-cons,1958,1962
721_MICA-cons,1963,1967
751_MICA-cons,1989,1993
751_MICA-cons,1994,1998
781_MICA-cons,1942,1946
781_MICA-cons,1947,1951
781_MICA-cons,1982,1986
781_MICA-cons,1987,1991
851_MICA-cons,1969,1973
851_MICA-cons,1974,1978
961_MICA-cons,1920,1924
961_MICA-cons,1925,1929
