file,start,end
1011_MICA-cons,1980,1989
1101_MICA-cons,1991,2000
1201_MICA-cons,1963,1972
1241_MICA-cons,1961,1970
1241_MICA-cons,1963,1972
1241_MICA-cons,1993,2002
1291_MICA-cons,1966,1975
1311_MICA-cons,1994,2003
1321_MICA-cons,1982,1991
1321_MICA-cons,1991,2000
1331_MICA-cons,1933,1942
1331_MICA-cons,1934,1943
1341_MICA-cons,1976,1985
1341_MICA-cons,1986,1995
1361_MICA-cons,1954,1963
1361_MICA-cons,1988,1997
1381_MICA-cons,1982,1991
1391_MICA-cons,1933,1942
1391_MICA-cons,1946,1955
1391_MICA-cons,1962,1971
1401_MICA-cons,1954,1963
1441_MICA-cons,1955,1964
1471_MICA-cons,1986,1995
1491_MICA-cons,1941,1950
1521_MICA-cons,1980,1989
1571_MICA-cons,1963,1972
1571_MICA-cons,1991,2000
1591_MICA-cons,1982,1991
1631_MICA-cons,1971,1980
1631_MICA-cons,1975,1984
441_MICA-cons,1980,1989
541_MICA-cons,1975,1984
561_MICA-cons,1963,1972
571_MICA-cons,1938,1947
571_MICA-cons,1974,1983
731_MICA-cons,1947,1956
731_MICA-cons,1973,1982
731_MICA-cons,1977,1986
751_MICA-cons,1943,1952
751_MICA-cons,1966,1975
771_MICA-cons,1934,1943
781_MICA-cons,1918,1927
781_MICA-cons,1919,1928
781_MICA-cons,1938,1947
781_MICA-cons,1950,1959
791_MICA-cons,1976,1985
791_MICA-cons,1990,1999
801_MICA-cons,1972,1981
851_MICA-cons,1933,1942
961_MICA-cons,1982,1991
