file,start,end
1041_MICA-cons,1989,1998
1051_MICA-cons,1987,1996
1201_MICA-cons,1926,1935
1201_MICA-cons,1927,1936
1201_MICA-cons,1959,1968
1201_MICA-cons,1985,1994
1291_MICA-cons,1975,1984
1291_MICA-cons,1992,2001
1301_MICA-cons,1952,1961
1321_MICA-cons,1949,1958
1321_MICA-cons,1963,1972
1331_MICA-cons,1968,1977
1341_MICA-cons,1981,1990
1351_MICA-cons,1980,1989
1351_MICA-cons,1994,2003
1371_MICA-cons,1980,1989
1381_MICA-cons,1988,1997
1381_MICA-cons,1991,2000
1441_MICA-cons,1925,1934
1441_MICA-cons,1927,1936
1441_MICA-cons,1930,1939
1441_MICA-cons,1963,1972
1461_MICA-cons,1971,1980
1491_MICA-cons,1963,1972
1521_MICA-cons,1974,1983
1521_MICA-cons,1977,1986
1521_MICA-cons,1978,1987
1531_MICA-cons,1988,1997
1571_MICA-cons,1937,1946
1571_MICA-cons,1963,1972
1591_MICA-cons,1952,1961
1631_MICA-cons,1960,1969
1631_MICA-cons,1969,1978
401_MICA-cons,1932,1941
401_MICA-cons,1958,1967
421_MICA-cons,1991,2000
441_MICA-cons,1983,1992
441_MICA-cons,1984,1993
531_MICA-cons,1979,1988
561_MICA-cons,1972,1981
561_MICA-cons,1981,1990
571_MICA-cons,1980,1989
571_MICA-cons,1984,1993
671_MICA-cons,1991,2000
721_MICA-cons,1958,1967
751_MICA-cons,1989,1998
781_MICA-cons,1942,1951
781_MICA-cons,1982,1991
851_MICA-cons,1969,1978
961_MICA-cons,1920,1929
