file,start,end
1201_MICA-cons,1924,1948
1201_MICA-cons,1970,1994
1241_MICA-cons,1966,1990
1301_MICA-cons,1976,2000
1331_MICA-cons,1921,1945
1361_MICA-cons,1965,1989
1371_MICA-cons,1978,2002
1391_MICA-cons,1933,1957
1441_MICA-cons,1955,1979
1451_MICA-cons,1971,1995
1461_MICA-cons,1960,1984
1491_MICA-cons,1936,1960
1591_MICA-cons,1942,1966
401_MICA-cons,1931,1955
541_MICA-cons,1963,1987
641_MICA-cons,1938,1962
721_MICA-cons,1966,1990
731_MICA-cons,1945,1969
781_MICA-cons,1921,1945
851_MICA-cons,1942,1966
961_MICA-cons,1962,1986
