file,start,end
1011_MICA-cons,1984,2003
1201_MICA-cons,1919,1938
1291_MICA-cons,1976,1995
1301_MICA-cons,1954,1973
1331_MICA-cons,1948,1967
1361_MICA-cons,1961,1980
1371_MICA-cons,1978,1997
1391_MICA-cons,1933,1952
1391_MICA-cons,1976,1995
1401_MICA-cons,1952,1971
1491_MICA-cons,1947,1966
1531_MICA-cons,1962,1981
1601_MICA-cons,1984,2003
401_MICA-cons,1931,1950
411_MICA-cons,1977,1996
561_MICA-cons,1977,1996
571_MICA-cons,1976,1995
581_MICA-cons,1983,2002
641_MICA-cons,1962,1981
721_MICA-cons,1974,1993
731_MICA-cons,1961,1980
771_MICA-cons,1956,1975
791_MICA-cons,1973,1992
801_MICA-cons,1979,1998
851_MICA-cons,1933,1952
