file,start,end
1201_MICA-cons,1926,1950
1321_MICA-cons,1927,1951
1321_MICA-cons,1960,1984
1331_MICA-cons,1938,1962
1391_MICA-cons,1968,1992
1401_MICA-cons,1946,1970
1441_MICA-cons,1951,1975
1441_MICA-cons,1980,2004
1461_MICA-cons,1967,1991
1491_MICA-cons,1944,1968
1491_MICA-cons,1976,2000
1531_MICA-cons,1975,1999
1601_MICA-cons,1976,2000
401_MICA-cons,1959,1983
541_MICA-cons,1958,1982
641_MICA-cons,1968,1992
711_MICA-cons,1965,1989
771_MICA-cons,1951,1975
781_MICA-cons,1954,1978
801_MICA-cons,1945,1969
961_MICA-cons,1965,1989
