file,start,end
1091_MICA-cons,1988,2002
1201_MICA-cons,1971,1985
1241_MICA-cons,1988,2002
1291_MICA-cons,1959,1973
1331_MICA-cons,1919,1933
1331_MICA-cons,1961,1975
1381_MICA-cons,1974,1988
1381_MICA-cons,1976,1990
1391_MICA-cons,1939,1953
1401_MICA-cons,1977,1991
1441_MICA-cons,1940,1954
1451_MICA-cons,1972,1986
1521_MICA-cons,1990,2004
1531_MICA-cons,1966,1980
1531_MICA-cons,1969,1983
1571_MICA-cons,1976,1990
1571_MICA-cons,1988,2002
1591_MICA-cons,1980,1994
401_MICA-cons,1936,1950
401_MICA-cons,1971,1985
531_MICA-cons,1988,2002
561_MICA-cons,1962,1976
571_MICA-cons,1969,1983
581_MICA-cons,1984,1998
641_MICA-cons,1961,1975
731_MICA-cons,1943,1957
781_MICA-cons,1956,1970
851_MICA-cons,1939,1953
851_MICA-cons,1947,1961
931_MICA-cons,1968,1982
931_MICA-cons,1971,1985
961_MICA-cons,1918,1932
961_MICA-cons,1921,1935
